日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	
EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	AD	2014-02-15T07:00:00	139.425	139.481	139.425	139.481	139.383	
139.428	139.450	323512.36	2014-02-14T22:00:00	139.584	139.584	139.467	139.547	139.557	
139.557	139.442	139.516	328233.65	2014-02-14T21:30:00	139.651	139.660	139.522	139.584	
139.620	139.629	139.494	139.557	327050.53	2014-02-14T21:00:00	139.619	139.664	139.547	
139.651	139.591	139.636	139.518	139.620	327275.66	2014-02-14T20:30:00	139.424	139.638	
139.390	139.619	139.393	139.613	139.361	139.591	324180.39	2014-02-14T20:00:00	139.450	
139.486	139.407	139.424	139.421	139.460	139.378	139.393	320996.83	2014-02-14T19:30:00	
139.435	139.479	139.386	139.450	139.406	139.450	139.369	139.421	322737.57	
2014-02-14T19:00:00	139.542	139.576	139.396	139.435	139.515	139.544	139.370	139.406	
321695.18	2014-02-14T18:30:00	139.531	139.601	139.442	139.542	139.506	139.571	139.414	
139.515	324544.15	2014-02-14T18:00:00	139.518	139.674	139.437	139.531	139.490	139.644	
139.411	139.506	323245.74	2014-02-14T17:30:00	139.504	139.599	139.463	139.518	139.475	
139.571	139.434	139.490	324238.99	2014-02-14T17:00:00	139.620	139.706	139.394	139.504	
139.591	139.677	139.370	139.475	325176.39	2014-02-14T16:30:00	139.582	139.631	139.494	
139.620	139.552	139.602	139.465	139.591	327438.04	2014-02-14T16:00:00	139.233	139.643	
139.233	139.582	139.208	139.617	139.208	139.552	323776.51	2014-02-14T15:30:00	139.145	
139.312	139.126	139.233	139.114	139.282	139.097	139.208	318566.92	2014-02-14T15:00:00	
139.109	139.193	139.088	139.145	139.081	139.166	139.061	139.114	318075.12	
2014-02-14T14:30:00	139.133	139.238	139.078	139.109	139.106	139.209	139.048	139.081	
318055.22	2014-02-14T14:00:00	139.338	139.347	139.006	139.133	139.308	139.318	138.976	
139.106	320092.12	2014-02-14T13:30:00	139.255	139.410	139.211	139.338	139.227	139.382	
139.181	139.308	321715.57	2014-02-14T13:00:00	139.236	139.288	139.175	139.255	139.211	
139.258	139.146	139.227	320815.10	2014-02-14T12:30:00	139.399	139.399	139.093	139.236	
139.373	139.373	139.063	139.211	319345.46	2014-02-14T12:00:00	139.528	139.531	139.303	
139.399	139.496	139.501	139.284	139.373	319718.44	2014-02-14T11:30:00	139.581	139.681	
139.525	139.528	139.549	139.652	139.496	139.496	320580.40	2014-02-14T11:00:00	139.779	
139.835	139.555	139.581	139.746	139.807	139.531	139.549	323568.40	2014-02-14T10:30:00	
139.959	139.990	139.749	139.779	139.930	139.965	139.723	139.746	327597.96	
2014-02-14T10:00:00	139.864	139.990	139.791	139.959	139.834	139.961	139.761	139.930	
330666.74	2014-02-14T09:30:00	139.985	140.003	139.848	139.864	139.956	139.973	139.822	
139.834	328135.82	2014-02-14T09:00:00	139.757	140.081	139.757	139.985	139.725	140.055	
139.725	139.956	331657.34	2014-02-14T08:30:00	139.831	139.860	139.752	139.757	139.799	
139.828	139.723	139.725	329871.74	2014-02-14T08:00:00	139.898	139.905	139.765	139.831	
139.863	139.866	139.737	139.799	331063.54	2014-02-14T07:30:00	139.857	139.898	139.828	
139.898	139.819	139.863	139.793	139.863	331105.24	2014-02-14T07:00:00	139.791	139.889	
139.783	139.857	139.739	139.836	139.739	139.819	330501.24	2014-02-14T06:30:00	139.855	
139.856	139.755	139.791	139.823	139.827	139.724	139.739	329915.41	2014-02-14T06:00:00	
139.860	139.860	139.799	139.855	139.837	139.837	139.769	139.823	330981.35	
2014-02-14T05:30:00	139.929	139.932	139.860	139.860	139.900	139.905	139.837	139.837	
330006.06	2014-02-14T05:00:00	139.893	139.930	139.840	139.929	139.866	139.900	139.812	
139.900	332172.06	2014-02-14T04:30:00	139.725	139.931	139.721	139.893	139.698	139.905	
139.693	139.866	330194.06	2014-02-14T04:00:00	139.712	139.750	139.696	139.725	139.684	
139.722	139.669	139.698	328302.89	2014-02-14T03:30:00	139.691	139.713	139.638	139.712	
139.660	139.684	139.612	139.684	328132.98	2014-02-14T03:00:00	139.724	139.767	139.644	
139.691	139.696	139.742	139.614	139.660	325545.98	2014-02-14T02:30:00	139.708	139.758	
139.694	139.724	139.679	139.729	139.665	139.696	326508.70	2014-02-14T02:00:00	139.704	
139.732	139.647	139.708	139.680	139.706	139.620	139.679	326583.35	2014-02-14T01:30:00	
139.712	139.790	139.660	139.704	139.686	139.762	139.634	139.680	325638.98	
2014-02-14T01:00:00	139.604	139.732	139.564	139.712	139.576	139.706	139.538	139.686	
326786.20	2014-02-14T00:30:00	139.496	139.678	139.443	139.604	139.467	139.654	139.414	
139.576	322505.06	2014-02-14T00:00:00	139.244	139.549	139.209	139.496	139.216	139.522	
139.181	139.467	320190.51	2014-02-13T23:30:00	139.142	139.352	139.129	139.244	139.112	
139.323	139.101	139.216	314606.54	2014-02-13T23:00:00	139.213	139.308	139.080	139.142	
139.183	139.279	139.050	139.112	314257.75	2014-02-13T22:30:00	139.451	139.451	139.175	
139.213	139.258	139.395	139.146	139.183	317876.35	2014-02-13T22:00:00	139.466	139.525	
139.294	139.451	139.441	139.503	139.258	139.258	328537.29	2014-02-13T21:30:00	139.434	
139.475	139.406	139.466	139.406	139.449	139.380	139.441	334539.29	2014-02-13T21:00:00	
139.266	139.438	139.266	139.434	139.241	139.411	139.241	139.406	332324.82	
2014-02-13T20:30:00	139.300	139.398	139.266	139.266	139.273	139.368	139.241	139.241	
328627.88	2014-02-13T20:00:00	139.311	139.369	139.223	139.300	139.282	139.341	139.198	
139.273	331649.88	2014-02-13T19:30:00	139.386	139.466	139.307	139.311	139.357	139.436	
139.280	139.282	331437.33	2014-02-13T19:00:00	139.520	139.563	139.283	139.386	139.492	
139.535	139.254	139.357	335657.28	2014-02-13T18:30:00	139.472	139.704	139.403	139.520	
139.446	139.676	139.377	139.492	337435.93	2014-02-13T18:00:00	139.122	139.514	138.936	
139.472	139.096	139.485	138.908	139.446	339435.08	2014-02-13T17:30:00	139.243	139.308	
139.102	139.122	139.216	139.282	139.082	139.096	332511.35	2014-02-13T17:00:00	139.126	
139.317	139.126	139.243	139.099	139.288	139.099	139.216	336611.83	2014-02-13T16:30:00	
139.107	139.161	139.046	139.126	139.077	139.135	139.018	139.099	335398.49	
2014-02-13T16:00:00	139.059	139.140	138.994	139.107	139.029	139.114	138.972	139.077	
333868.49	2014-02-13T15:30:00	139.149	139.155	138.984	139.059	139.123	139.125	138.954	
139.029	331631.68	2014-02-13T15:00:00	138.965	139.157	138.938	139.149	138.937	139.128	
138.909	139.123	332065.43	2014-02-13T14:30:00	138.948	139.042	138.904	138.965	138.918	
139.019	138.877	138.937	326950.18	2014-02-13T14:00:00	139.047	139.061	138.891	138.948	
139.021	139.029	138.863	138.918	327683.77	2014-02-13T13:30:00	139.097	139.148	139.040	
139.047	139.067	139.118	139.013	139.021	329066.23	2014-02-13T13:00:00	139.112	139.149	
139.020	139.097	139.082	139.120	138.994	139.067	331429.39	2014-02-13T12:30:00	139.176	
139.194	139.043	139.112	139.144	139.164	139.017	139.082	330928.44	2014-02-13T12:00:00	
139.343	139.350	139.126	139.176	139.317	139.323	139.100	139.144	331353.79	
2014-02-13T11:30:00	139.298	139.390	139.267	139.343	139.270	139.363	139.240	139.317	
333410.27	2014-02-13T11:00:00	139.213	139.327	139.210	139.298	139.186	139.298	139.184	
139.270	332885.03	2014-02-13T10:30:00	139.337	139.368	139.152	139.213	139.308	139.339	
139.127	139.186	331463.52	2014-02-13T10:00:00	139.365	139.411	139.317	139.337	139.336	
139.383	139.288	139.308	333265.48	2014-02-13T09:30:00	139.246	139.392	139.232	139.365	
139.214	139.367	139.204	139.336	334729.64	2014-02-13T09:00:00	139.247	139.287	139.187	
139.246	139.216	139.255	139.159	139.214	331780.81	2014-02-13T08:30:00	139.271	139.333	
139.245	139.247	139.239	139.306	139.213	139.216	331466.98	2014-02-13T08:00:00	139.431	
139.432	139.246	139.271	139.391	139.393	139.215	139.239	332583.01	2014-02-13T07:30:00	
139.384	139.477	139.372	139.431	139.349	139.439	139.341	139.391	333945.82	
2014-02-13T07:00:00	139.384	139.421	139.379	139.384	139.339	139.371	139.298	139.349	
333913.74	2014-02-13T06:30:00	139.355	139.403	139.340	139.384	139.325	139.369	139.312	
139.339	333704.78	2014-02-13T06:00:00	139.331	139.405	139.326	139.355	139.306	139.377	
139.295	139.325	333762.04	2014-02-13T05:30:00	139.328	139.366	139.285	139.331	139.298	
139.338	139.259	139.306	334039.99	2014-02-13T05:00:00	139.309	139.344	139.259	139.328	
139.282	139.316	139.231	139.298	333645.63	2014-02-13T04:30:00	139.346	139.346	139.218	
139.309	139.320	139.320	139.190	139.282	332302.45	2014-02-13T04:00:00	139.401	139.409	
139.304	139.346	139.376	139.381	139.276	139.320	331003.96	2014-02-13T03:30:00	139.426	
139.510	139.399	139.401	139.396	139.486	139.372	139.376	331491.13	2014-02-13T03:00:00	
139.258	139.444	139.216	139.426	139.231	139.416	139.191	139.396	334516.78	
2014-02-13T02:30:00	139.279	139.317	139.166	139.258	139.251	139.288	139.139	139.231	
331898.82	2014-02-13T02:00:00	139.312	139.347	139.261	139.279	139.285	139.318	139.232	
139.251	331187.55	2014-02-13T01:30:00	139.428	139.476	139.244	139.312	139.402	139.451	
139.219	139.285	332888.20	2014-02-13T01:00:00	139.322	139.504	139.290	139.428	139.295	
139.478	139.264	139.402	335178.72	2014-02-13T00:30:00	139.132	139.354	139.099	139.322	
139.105	139.325	139.072	139.295	333309.16	2014-02-13T00:00:00	139.166	139.206	139.067	
139.132	139.142	139.182	139.038	139.105	327288.01	2014-02-12T23:30:00	138.921	139.208	
138.913	139.166	138.897	139.184	138.884	139.142	327676.07	2014-02-12T23:00:00	138.936	
138.993	138.854	138.921	138.908	138.965	138.828	138.897	322241.51	2014-02-12T22:30:00	
138.842	138.984	138.837	138.936	138.815	138.956	138.811	138.908	322200.33	
2014-02-12T22:00:00	138.877	138.989	138.822	138.842	138.847	138.962	138.797	138.815	
320642.13	2014-02-12T21:30:00	138.963	138.964	138.687	138.877	138.933	138.941	138.665	
138.847	324386.26	2014-02-12T21:00:00	138.823	139.044	138.786	138.963	138.788	139.016	
138.760	138.933	322229.31	2014-02-12T20:30:00	139.643	139.643	138.812	138.823	139.612	
139.614	138.785	138.788	320075.28	2014-02-12T20:00:00	139.705	139.745	139.586	139.643	
139.677	139.722	139.560	139.612	331262.72	2014-02-12T19:30:00	139.731	139.762	139.649	
139.705	139.704	139.736	139.619	139.677	332913.57	2014-02-12T19:00:00	139.787	139.806	
139.585	139.731	139.757	139.779	139.558	139.704	332978.83	2014-02-12T18:30:00	139.784	
139.865	139.783	139.787	139.756	139.836	139.754	139.757	331218.93	2014-02-12T18:00:00	
139.761	139.845	139.753	139.784	139.735	139.816	139.727	139.756	333787.17	
2014-02-12T17:30:00	139.818	139.831	139.712	139.761	139.790	139.806	139.689	139.735	
334819.93	2014-02-12T17:00:00	139.742	139.864	139.653	139.818	139.713	139.838	139.628	
139.790	335345.78	2014-02-12T16:30:00	139.749	139.840	139.728	139.742	139.719	139.813	
139.699	139.713	333010.41	2014-02-12T16:00:00	139.831	139.910	139.721	139.749	139.808	
139.883	139.693	139.719	335726.95	2014-02-12T15:30:00	139.836	139.895	139.748	139.831	
139.807	139.867	139.723	139.808	338217.49	2014-02-12T15:00:00	139.795	139.885	139.790	
139.836	139.765	139.857	139.761	139.807	337627.61	2014-02-12T14:30:00	139.803	139.835	
139.730	139.795	139.779	139.806	139.706	139.765	337728.36	2014-02-12T14:00:00	139.796	
139.833	139.735	139.803	139.766	139.803	139.709	139.779	337325.70	2014-02-12T13:30:00	
139.779	139.821	139.740	139.796	139.748	139.792	139.713	139.766	336415.98	
2014-02-12T13:00:00	139.775	139.800	139.722	139.779	139.744	139.770	139.695	139.748	
335670.23	2014-02-12T12:30:00	139.805	139.854	139.762	139.775	139.775	139.825	139.732	
139.744	334789.01	2014-02-12T12:00:00	139.815	139.862	139.805	139.805	139.783	139.831	
139.775	139.775	335932.33	2014-02-12T11:30:00	139.888	139.904	139.762	139.815	139.860	
139.877	139.736	139.783	337206.33	2014-02-12T11:00:00	139.868	139.983	139.807	139.888	
139.836	139.955	139.778	139.860	337908.33	2014-02-12T10:30:00	139.757	139.869	139.736	
139.868	139.731	139.850	139.708	139.836	338232.08	2014-02-12T10:00:00	139.731	139.773	
139.680	139.757	139.703	139.747	139.653	139.731	336185.70	2014-02-12T09:30:00	139.755	
139.805	139.720	139.731	139.723	139.776	139.691	139.703	334440.47	2014-02-12T09:00:00	
139.838	139.883	139.697	139.755	139.806	139.853	139.668	139.723	337014.67	
2014-02-12T08:30:00	139.880	139.933	139.813	139.838	139.849	139.901	139.784	139.806	
338481.02	2014-02-12T08:00:00	139.980	139.992	139.875	139.880	139.938	139.960	139.847	
139.849	339505.51	2014-02-12T07:30:00	139.942	140.062	139.924	139.980	139.902	140.027	
139.891	139.938	340756.60	2014-02-12T07:00:00	139.975	140.020	139.934	139.942	139.942	
139.989	139.898	139.902	341122.56	2014-02-12T06:30:00	139.945	140.015	139.944	139.975	
139.918	139.990	139.917	139.942	341808.45	2014-02-12T06:00:00	139.984	140.003	139.933	
139.945	139.956	139.976	139.906	139.918	342167.63	2014-02-12T05:30:00	139.996	140.012	
139.948	139.984	139.968	139.981	139.922	139.956	343154.66	2014-02-12T05:00:00	139.983	
140.053	139.967	139.996	139.953	140.023	139.937	139.968	342941.40	2014-02-12T04:30:00	
139.989	140.018	139.960	139.983	139.960	139.991	139.933	139.953	343391.26	
2014-02-12T04:00:00	139.970	140.018	139.954	139.989	139.945	139.989	139.929	139.960	
343927.23	2014-02-12T03:30:00	140.030	140.044	139.961	139.970	140.000	140.015	139.931	
139.945	343850.99	2014-02-12T03:00:00	140.074	140.130	140.016	140.030	140.043	140.106	
139.987	140.000	345491.66	2014-02-12T02:30:00	140.085	140.197	140.056	140.074	140.059	
140.167	140.027	140.043	348333.24	2014-02-12T02:00:00	140.148	140.215	140.025	140.085	
140.119	140.193	139.996	140.059	350684.55	2014-02-12T01:30:00	140.236	140.249	140.098	
140.148	140.206	140.225	140.071	140.119	352387.11	2014-02-12T01:00:00	140.020	140.257	
139.934	140.236	139.992	140.233	139.905	140.206	355261.88	2014-02-12T00:30:00	140.061	
140.119	139.939	140.020	140.031	140.090	139.912	139.992	348832.07	2014-02-12T00:00:00	
139.735	140.125	139.700	140.061	139.708	140.101	139.671	140.031	349734.39	
2014-02-11T23:30:00	139.443	139.753	139.429	139.735	139.416	139.729	139.398	139.708	
343337.53	2014-02-11T23:00:00	139.686	139.720	139.292	139.443	139.658	139.698	139.266	
139.416	335757.18	2014-02-11T22:30:00	139.977	140.325	139.678	139.686	139.948	140.292	
139.649	139.658	339012.87	2014-02-11T22:00:00	140.039	140.090	139.958	139.977	140.010	
140.065	139.930	139.948	357461.55	2014-02-11T21:30:00	139.883	140.085	139.873	140.039	
139.858	140.055	139.845	140.010	360609.02	2014-02-11T21:00:00	139.844	139.960	139.843	
139.883	139.815	139.936	139.815	139.858	358310.16	2014-02-11T20:30:00	139.952	139.959	
139.833	139.844	139.927	139.931	139.805	139.815	358971.40	2014-02-11T20:00:00	139.965	
140.039	139.945	139.952	139.944	140.010	139.919	139.927	361300.03	2014-02-11T19:30:00	
140.062	140.091	139.958	139.965	140.034	140.067	139.930	139.944	362935.20	
2014-02-11T19:00:00	140.000	140.103	140.000	140.062	139.970	140.076	139.970	140.034	
364761.15	2014-02-11T18:30:00	139.929	140.006	139.861	140.000	139.905	139.980	139.833	
139.970	363976.00	2014-02-11T18:00:00	139.874	139.992	139.867	139.929	139.846	139.966	
139.838	139.905	360989.34	2014-02-11T17:30:00	139.988	140.013	139.811	139.874	139.961	
139.990	139.784	139.846	360826.26	2014-02-11T17:00:00	139.680	139.993	139.668	139.988	
139.649	139.969	139.639	139.961	362815.75	2014-02-11T16:30:00	139.718	139.740	139.639	
139.680	139.692	139.711	139.616	139.649	357628.09	2014-02-11T16:00:00	139.752	139.818	
139.686	139.718	139.723	139.790	139.659	139.692	358518.55	2014-02-11T15:30:00	139.841	
139.841	139.747	139.752	139.814	139.814	139.722	139.723	360215.49	2014-02-11T15:00:00	
139.875	139.890	139.767	139.841	139.845	139.860	139.747	139.814	361632.01	
2014-02-11T14:30:00	139.938	139.938	139.846	139.875	139.906	139.908	139.820	139.845	
361323.89	2014-02-11T14:00:00	139.688	139.948	139.688	139.938	139.659	139.919	139.659	
139.906	362197.89	2014-02-11T13:30:00	139.621	139.706	139.620	139.688	139.591	139.677	
139.588	139.659	360171.99	2014-02-11T13:00:00	139.651	139.678	139.613	139.621	139.625	
139.651	139.582	139.591	359681.29	2014-02-11T12:30:00	139.634	139.658	139.633	139.651	
139.602	139.629	139.601	139.625	360155.82	2014-02-11T12:00:00	139.604	139.691	139.593	
139.634	139.580	139.660	139.571	139.602	359705.82	2014-02-11T11:30:00	139.600	139.659	
139.593	139.604	139.573	139.630	139.562	139.580	359990.38	2014-02-11T11:00:00	139.556	
139.617	139.556	139.600	139.526	139.587	139.526	139.573	360717.44	2014-02-11T10:30:00	
139.615	139.637	139.515	139.556	139.584	139.607	139.489	139.526	360156.44	
2014-02-11T10:00:00	139.680	139.707	139.566	139.615	139.651	139.679	139.536	139.584	
360593.83	2014-02-11T09:30:00	139.428	139.809	139.411	139.680	139.396	139.779	139.380	
139.651	361449.03	2014-02-11T09:00:00	139.389	139.462	139.366	139.428	139.357	139.430	
139.333	139.396	359938.39	2014-02-11T08:30:00	139.502	139.504	139.370	139.389	139.472	
139.472	139.340	139.357	359716.85	2014-02-11T08:00:00	139.504	139.557	139.465	139.502	
139.460	139.526	139.425	139.472	360599.60	2014-02-11T07:30:00	139.474	139.540	139.455	
139.504	139.438	139.500	139.412	139.460	360642.22	2014-02-11T07:00:00	139.548	139.570	
139.472	139.474	139.508	139.523	139.435	139.438	360535.49	2014-02-11T06:30:00	139.489	
139.548	139.457	139.548	139.457	139.536	139.426	139.508	361047.06	2014-02-11T06:00:00	
139.460	139.544	139.426	139.489	139.435	139.513	139.397	139.457	360476.13	
2014-02-11T05:30:00	139.355	139.474	139.355	139.460	139.325	139.447	139.325	139.435	
360423.44	2014-02-11T05:00:00	139.425	139.438	139.334	139.355	139.400	139.413	139.304	
139.325	358401.59	2014-02-11T04:30:00	139.420	139.490	139.393	139.425	139.390	139.461	
139.363	139.400	359755.11	2014-02-11T04:00:00	139.402	139.431	139.378	139.420	139.376	
139.403	139.351	139.390	360253.48	2014-02-11T03:30:00	139.367	139.427	139.336	139.402	
139.336	139.400	139.315	139.376	359542.48	2014-02-11T03:00:00	139.427	139.428	139.352	
139.367	139.399	139.400	139.323	139.336	358906.52	2014-02-11T02:30:00	139.423	139.453	
139.369	139.427	139.396	139.425	139.341	139.399	360013.28	2014-02-11T02:00:00	139.387	
139.459	139.345	139.423	139.361	139.430	139.315	139.396	359184.33	2014-02-11T01:30:00	
139.338	139.425	139.272	139.387	139.312	139.396	139.245	139.361	358136.84	
2014-02-11T01:00:00	139.246	139.375	139.220	139.338	139.223	139.351	139.194	139.312	
356064.64	2014-02-11T00:30:00	139.346	139.349	139.181	139.246	139.317	139.320	139.157	
139.223	353235.23	2014-02-11T00:00:00	139.321	139.355	139.239	139.346	139.294	139.328	
139.210	139.317	354450.70	2014-02-10T23:30:00	139.367	139.389	139.292	139.321	139.341	
139.361	139.266	139.294	350415.44	2014-02-10T23:00:00	139.392	139.433	139.343	139.367	
139.362	139.406	139.314	139.341	353558.84	2014-02-10T22:30:00	139.293	139.410	139.288	
139.392	139.264	139.383	139.259	139.362	355343.19	2014-02-10T22:00:00	139.257	139.332	
139.209	139.293	139.232	139.305	139.185	139.264	352665.63	2014-02-10T21:30:00	139.290	
139.305	139.219	139.257	139.263	139.279	139.192	139.232	351438.23	2014-02-10T21:00:00	
139.225	139.322	139.207	139.290	139.197	139.293	139.177	139.263	351734.88	
2014-02-10T20:30:00	139.298	139.307	139.194	139.225	139.265	139.276	139.168	139.197	
350205.98	2014-02-10T20:00:00	139.260	139.323	139.224	139.298	139.230	139.295	139.197	
139.265	351691.17	2014-02-10T19:30:00	139.294	139.393	139.210	139.260	139.267	139.370	
139.184	139.230	350289.82	2014-02-10T19:00:00	139.264	139.332	139.235	139.294	139.239	
139.303	139.206	139.267	351930.78	2014-02-10T18:30:00	139.327	139.329	139.230	139.264	
139.298	139.301	139.203	139.239	351239.03	2014-02-10T18:00:00	139.505	139.576	139.307	
139.327	139.481	139.550	139.283	139.298	352176.09	2014-02-10T17:30:00	139.323	139.545	
139.315	139.505	139.293	139.520	139.286	139.481	356517.54	2014-02-10T17:00:00	139.403	
139.405	139.243	139.323	139.374	139.376	139.214	139.293	353218.20	2014-02-10T16:30:00	
139.430	139.459	139.256	139.403	139.398	139.441	139.227	139.374	353378.01	
2014-02-10T16:00:00	139.526	139.583	139.339	139.430	139.500	139.553	139.308	139.398	
351283.05	2014-02-10T15:30:00	139.559	139.577	139.510	139.526	139.531	139.546	139.481	
139.500	352642.22	2014-02-10T15:00:00	139.535	139.618	139.535	139.559	139.513	139.586	
139.506	139.531	353243.69	2014-02-10T14:30:00	139.534	139.597	139.475	139.535	139.504	
139.571	139.449	139.513	354162.07	2014-02-10T14:00:00	139.557	139.575	139.489	139.534	
139.533	139.551	139.461	139.504	354072.66	2014-02-10T13:30:00	139.525	139.585	139.504	
139.557	139.496	139.560	139.478	139.533	354176.21	2014-02-10T13:00:00	139.525	139.551	
139.496	139.525	139.496	139.525	139.465	139.496	353693.04	2014-02-10T12:30:00	139.472	
139.549	139.436	139.525	139.442	139.522	139.408	139.496	353651.08	2014-02-10T12:00:00	
139.544	139.576	139.458	139.472	139.515	139.548	139.427	139.442	353012.04	
2014-02-10T11:30:00	139.478	139.547	139.457	139.544	139.449	139.517	139.429	139.515	
353918.28	2014-02-10T11:00:00	139.611	139.611	139.423	139.478	139.584	139.584	139.394	
139.449	352971.37	2014-02-10T10:30:00	139.499	139.647	139.484	139.611	139.468	139.618	
139.455	139.584	353896.43	2014-02-10T10:00:00	139.590	139.634	139.485	139.499	139.562	
139.603	139.459	139.468	352342.04	2014-02-10T09:30:00	139.650	139.663	139.567	139.590	
139.620	139.633	139.547	139.562	355134.16	2014-02-10T09:00:00	139.621	139.666	139.544	
139.650	139.594	139.635	139.519	139.620	357177.51	2014-02-10T08:30:00	139.705	139.817	
139.620	139.621	139.674	139.792	139.591	139.594	354367.68	2014-02-10T08:00:00	139.788	
139.802	139.702	139.705	139.754	139.779	139.671	139.674	356167.31	2014-02-10T07:30:00	
139.560	139.811	139.560	139.788	139.521	139.783	139.521	139.754	357516.92	
2014-02-10T07:00:00	139.647	139.679	139.543	139.560	139.608	139.608	139.504	139.521	
355852.22	2014-02-10T06:30:00	139.524	139.700	139.524	139.647	139.474	139.662	139.470	
139.608	356348.28	2014-02-10T06:00:00	139.550	139.564	139.415	139.524	139.476	139.524	
139.344	139.474	356063.47	2014-02-10T05:30:00	139.564	139.582	139.499	139.550	139.519	
139.533	139.455	139.476	355909.69	2014-02-10T05:00:00	139.644	139.644	139.553	139.564	
139.581	139.596	139.495	139.519	355996.00	2014-02-10T04:30:00	139.542	139.654	139.533	
139.644	139.468	139.595	139.459	139.581	356060.02	2014-02-10T04:00:00	139.608	139.621	
139.461	139.542	139.503	139.562	139.389	139.468	355425.52	2014-02-08T06:30:00	139.588	
139.625	139.560	139.608	139.562	139.595	139.503	139.503	355462.89	2014-02-08T06:00:00	
139.493	139.603	139.441	139.588	139.466	139.575	139.410	139.562	356372.89	
2014-02-08T05:30:00	139.443	139.545	139.437	139.493	139.414	139.516	139.410	139.466	
355578.48	2014-02-08T05:00:00	139.443	139.467	139.381	139.443	139.413	139.441	139.350	
139.414	355471.50	2014-02-08T04:30:00	139.383	139.517	139.377	139.443	139.355	139.490	
139.348	139.413	354977.89	2014-02-08T04:00:00	139.403	139.528	139.370	139.383	139.374	
139.499	139.343	139.355	355115.22	2014-02-08T03:30:00	139.293	139.407	139.246	139.403	
139.264	139.380	139.216	139.374	356865.06	2014-02-08T03:00:00	139.282	139.381	139.266	
139.293	139.258	139.353	139.235	139.264	355077.21	2014-02-08T02:30:00	139.266	139.293	
139.159	139.282	139.243	139.268	139.130	139.258	355883.14	2014-02-08T02:00:00	139.304	
139.327	139.213	139.266	139.278	139.300	139.183	139.243	354416.69	2014-02-08T01:30:00	
139.157	139.304	139.115	139.304	139.128	139.279	139.088	139.278	354365.51	
2014-02-08T01:00:00	139.211	139.222	139.054	139.157	139.185	139.196	139.024	139.128	
351940.18	2014-02-08T00:30:00	138.910	139.327	138.882	139.211	138.883	139.298	138.853	
139.185	351196.11	2014-02-08T00:00:00	139.177	139.311	138.856	138.910	139.152	139.287	
138.829	138.883	348706.89	2014-02-07T23:30:00	139.259	139.382	139.062	139.177	139.230	
139.355	139.035	139.152	354050.12	2014-02-07T23:00:00	138.857	139.290	138.664	139.259	
138.833	139.264	138.635	139.230	356383.41	2014-02-07T22:30:00	139.302	139.248	138.186	
138.857	139.134	139.080	138.154	138.833	349555.09	2014-02-07T22:00:00	138.819	139.302	
138.764	139.302	138.797	139.260	138.735	139.134	342690.20	2014-02-07T21:30:00	138.719	
138.838	138.642	138.819	138.693	138.808	138.613	138.797	340740.20	2014-02-07T21:00:00	
138.615	138.723	138.601	138.719	138.589	138.695	138.573	138.693	339093.60	
2014-02-07T20:30:00	138.561	138.666	138.540	138.615	138.535	138.639	138.510	138.589	
