日時	
EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	OBV	
139.306	139.213	139.216	358430	2014-02-13T08:00:00	139.431	139.432	139.246	139.271	
139.391	139.393	139.215	139.239	359623	2014-02-13T07:30:00	139.384	139.477	139.372	
139.431	139.349	139.439	139.341	139.391	361489	2014-02-13T07:00:00	139.384	139.421	
139.379	139.384	139.339	139.371	139.298	139.349	359917	2014-02-13T06:30:00	139.355	
139.403	139.340	139.384	139.325	139.369	139.312	139.339	359391	2014-02-13T06:00:00	
139.331	139.405	139.326	139.355	139.306	139.377	139.295	139.325	358303	
2014-02-13T05:30:00	139.328	139.366	139.285	139.331	139.298	139.338	139.259	139.306	
357267	2014-02-13T05:00:00	139.309	139.344	139.259	139.328	139.282	139.316	139.231	
139.298	355190	2014-02-13T04:30:00	139.346	139.346	139.218	139.309	139.320	139.320	
139.190	139.282	352860	2014-02-13T04:00:00	139.401	139.409	139.304	139.346	139.376	
139.381	139.276	139.320	355986	2014-02-13T03:30:00	139.426	139.510	139.399	139.401	
139.396	139.486	139.372	139.376	358995	2014-02-13T03:00:00	139.258	139.444	139.216	
139.426	139.231	139.416	139.191	139.396	362249	2014-02-13T02:30:00	139.279	139.317	
139.166	139.258	139.251	139.288	139.139	139.231	359065	2014-02-13T02:00:00	139.312	
139.347	139.261	139.279	139.285	139.318	139.232	139.251	362093	2014-02-13T01:30:00	
139.428	139.476	139.244	139.312	139.402	139.451	139.219	139.285	365140	
2014-02-13T01:00:00	139.322	139.504	139.290	139.428	139.295	139.478	139.264	139.402	
370454	2014-02-13T00:30:00	139.132	139.354	139.099	139.322	139.105	139.325	139.072	
139.295	364001	2014-02-13T00:00:00	139.166	139.206	139.067	139.132	139.142	139.182	
139.038	139.105	356108	2014-02-12T23:30:00	138.921	139.208	138.913	139.166	138.897	
139.184	138.884	139.142	361696	2014-02-12T23:00:00	138.936	138.993	138.854	138.921	
138.908	138.965	138.828	138.897	354148	2014-02-12T22:30:00	138.842	138.984	138.837	
138.936	138.815	138.956	138.811	138.908	359789	2014-02-12T22:00:00	138.877	138.989	
138.822	138.842	138.847	138.962	138.797	138.815	355178	2014-02-12T21:30:00	138.963	
138.964	138.687	138.877	138.933	138.941	138.665	138.847	359967	2014-02-12T21:00:00	
138.823	139.044	138.786	138.963	138.788	139.016	138.760	138.933	366732	
2014-02-12T20:30:00	139.643	139.643	138.812	138.823	139.612	139.614	138.785	138.788	
360605	2014-02-12T20:00:00	139.705	139.745	139.586	139.643	139.677	139.722	139.560	
139.612	371874	2014-02-12T19:30:00	139.731	139.762	139.649	139.705	139.704	139.736	
139.619	139.677	376485	2014-02-12T19:00:00	139.787	139.806	139.585	139.731	139.757	
139.779	139.558	139.704	384120	2014-02-12T18:30:00	139.784	139.865	139.783	139.787	
139.756	139.836	139.754	139.757	389598	2014-02-12T18:00:00	139.761	139.845	139.753	
139.784	139.735	139.816	139.727	139.756	386827	2014-02-12T17:30:00	139.818	139.831	
139.712	139.761	139.790	139.806	139.689	139.735	383862	2014-02-12T17:00:00	139.742	
139.864	139.653	139.818	139.713	139.838	139.628	139.790	386323	2014-02-12T16:30:00	
139.749	139.840	139.728	139.742	139.719	139.813	139.699	139.713	382021	
2014-02-12T16:00:00	139.831	139.910	139.721	139.749	139.808	139.883	139.693	139.719	
385622	2014-02-12T15:30:00	139.836	139.895	139.748	139.831	139.807	139.867	139.723	
139.808	389051	2014-02-12T15:00:00	139.795	139.885	139.790	139.836	139.765	139.857	
139.761	139.807	385784	2014-02-12T14:30:00	139.803	139.835	139.730	139.795	139.779	
139.806	139.706	139.765	383366	2014-02-12T14:00:00	139.796	139.833	139.735	139.803	
139.766	139.803	139.709	139.779	385603	2014-02-12T13:30:00	139.779	139.821	139.740	
139.796	139.748	139.792	139.713	139.766	383744	2014-02-12T13:00:00	139.775	139.800	
139.722	139.779	139.744	139.770	139.695	139.748	381562	2014-02-12T12:30:00	139.805	
139.854	139.762	139.775	139.775	139.825	139.732	139.744	379430	2014-02-12T12:00:00	
139.815	139.862	139.805	139.805	139.783	139.831	139.775	139.775	380971	
2014-02-12T11:30:00	139.888	139.904	139.762	139.815	139.860	139.877	139.736	139.783	
382245	2014-02-12T11:00:00	139.868	139.983	139.807	139.888	139.836	139.955	139.778	
139.860	384351	2014-02-12T10:30:00	139.757	139.869	139.736	139.868	139.731	139.850	
139.708	139.836	379943	2014-02-12T10:00:00	139.731	139.773	139.680	139.757	139.703	
139.747	139.653	139.731	377394	2014-02-12T09:30:00	139.755	139.805	139.720	139.731	
139.723	139.776	139.691	139.703	374748	2014-02-12T09:00:00	139.838	139.883	139.697	
139.755	139.806	139.853	139.668	139.723	378335	2014-02-12T08:30:00	139.880	139.933	
139.813	139.838	139.849	139.901	139.784	139.806	381952	2014-02-12T08:00:00	139.980	
139.992	139.875	139.880	139.938	139.960	139.847	139.849	383594	2014-02-12T07:30:00	
139.942	140.062	139.924	139.980	139.902	140.027	139.891	139.938	384891	
2014-02-12T07:00:00	139.975	140.020	139.934	139.942	139.942	139.989	139.898	139.902	
383706	2014-02-12T06:30:00	139.945	140.015	139.944	139.975	139.918	139.990	139.917	
139.942	384458	2014-02-12T06:00:00	139.984	140.003	139.933	139.945	139.956	139.976	
139.906	139.918	383318	2014-02-12T05:30:00	139.996	140.012	139.948	139.984	139.968	
139.981	139.922	139.956	384820	2014-02-12T05:00:00	139.983	140.053	139.967	139.996	
139.953	140.023	139.937	139.968	386218	2014-02-12T04:30:00	139.989	140.018	139.960	
139.983	139.960	139.991	139.933	139.953	384606	2014-02-12T04:00:00	139.970	140.018	
139.954	139.989	139.945	139.989	139.929	139.960	386333	2014-02-12T03:30:00	140.030	
140.044	139.961	139.970	140.000	140.015	139.931	139.945	384046	2014-02-12T03:00:00	
140.074	140.130	140.016	140.030	140.043	140.106	139.987	140.000	386507	
2014-02-12T02:30:00	140.085	140.197	140.056	140.074	140.059	140.167	140.027	140.043	
390143	2014-02-12T02:00:00	140.148	140.215	140.025	140.085	140.119	140.193	139.996	
140.059	393191	2014-02-12T01:30:00	140.236	140.249	140.098	140.148	140.206	140.225	
140.071	140.119	397915	2014-02-12T01:00:00	140.020	140.257	139.934	140.236	139.992	
140.233	139.905	140.206	405548	2014-02-12T00:30:00	140.061	140.119	139.939	140.020	
140.031	140.090	139.912	139.992	397851	2014-02-12T00:00:00	139.735	140.125	139.700	
140.061	139.708	140.101	139.671	140.031	406774	2014-02-11T23:30:00	139.443	139.753	
139.429	139.735	139.416	139.729	139.398	139.708	397289	2014-02-11T23:00:00	139.686	
139.720	139.292	139.443	139.658	139.698	139.266	139.416	388607	2014-02-11T22:30:00	
139.977	140.325	139.678	139.686	139.948	140.292	139.649	139.658	399262	
2014-02-11T22:00:00	140.039	140.090	139.958	139.977	140.010	140.065	139.930	139.948	
418242	2014-02-11T21:30:00	139.883	140.085	139.873	140.039	139.858	140.055	139.845	
140.010	422534	2014-02-11T21:00:00	139.844	139.960	139.843	139.883	139.815	139.936	
139.815	139.858	418511	2014-02-11T20:30:00	139.952	139.959	139.833	139.844	139.927	
139.931	139.805	139.815	416225	2014-02-11T20:00:00	139.965	140.039	139.945	139.952	
139.944	140.010	139.919	139.927	418993	2014-02-11T19:30:00	140.062	140.091	139.958	
139.965	140.034	140.067	139.930	139.944	420977	2014-02-11T19:00:00	140.000	140.103	
140.000	140.062	139.970	140.076	139.970	140.034	423272	2014-02-11T18:30:00	139.929	
140.006	139.861	140.000	139.905	139.980	139.833	139.970	419489	2014-02-11T18:00:00	
139.874	139.992	139.867	139.929	139.846	139.966	139.838	139.905	416032	
2014-02-11T17:30:00	139.988	140.013	139.811	139.874	139.961	139.990	139.784	139.846	
412553	2014-02-11T17:00:00	139.680	139.993	139.668	139.988	139.649	139.969	139.639	
139.961	417551	2014-02-11T16:30:00	139.718	139.740	139.639	139.680	139.692	139.711	
139.616	139.649	412099	2014-02-11T16:00:00	139.752	139.818	139.686	139.718	139.723	
139.790	139.659	139.692	415016	2014-02-11T15:30:00	139.841	139.841	139.747	139.752	
139.814	139.814	139.722	139.723	418436	2014-02-11T15:00:00	139.875	139.890	139.767	
139.841	139.845	139.860	139.747	139.814	419884	2014-02-11T14:30:00	139.938	139.938	
139.846	139.875	139.906	139.908	139.820	139.845	421542	2014-02-11T14:00:00	139.688	
139.948	139.688	139.938	139.659	139.919	139.659	139.906	423566	2014-02-11T13:30:00	
139.621	139.706	139.620	139.688	139.591	139.677	139.588	139.659	421315	
2014-02-11T13:00:00	139.651	139.678	139.613	139.621	139.625	139.651	139.582	139.591	
420491	2014-02-11T12:30:00	139.634	139.658	139.633	139.651	139.602	139.629	139.601	
139.625	421133	2014-02-11T12:00:00	139.604	139.691	139.593	139.634	139.580	139.660	
139.571	139.602	420503	2014-02-11T11:30:00	139.600	139.659	139.593	139.604	139.573	
139.630	139.562	139.580	419565	2014-02-11T11:00:00	139.556	139.617	139.556	139.600	
139.526	139.587	139.526	139.573	418020	2014-02-11T10:30:00	139.615	139.637	139.515	
139.556	139.584	139.607	139.489	139.526	416983	2014-02-11T10:00:00	139.680	139.707	
139.566	139.615	139.651	139.679	139.536	139.584	418156	2014-02-11T09:30:00	139.428	
139.809	139.411	139.680	139.396	139.779	139.380	139.651	420758	2014-02-11T09:00:00	
139.389	139.462	139.366	139.428	139.357	139.430	139.333	139.396	416543	
2014-02-11T08:30:00	139.502	139.504	139.370	139.389	139.472	139.472	139.340	139.357	
415802	2014-02-11T08:00:00	139.504	139.557	139.465	139.502	139.460	139.526	139.425	
139.472	416991	2014-02-11T07:30:00	139.474	139.540	139.455	139.504	139.438	139.500	
139.412	139.460	416376	2014-02-11T07:00:00	139.548	139.570	139.472	139.474	139.508	
139.523	139.435	139.438	415202	2014-02-11T06:30:00	139.489	139.548	139.457	139.548	
139.457	139.536	139.426	139.508	415751	2014-02-11T06:00:00	139.460	139.544	139.426	
139.489	139.435	139.513	139.397	139.457	414588	2014-02-11T05:30:00	139.355	139.474	
139.355	139.460	139.325	139.447	139.325	139.435	413060	2014-02-11T05:00:00	139.425	
139.438	139.334	139.355	139.400	139.413	139.304	139.325	410543	2014-02-11T04:30:00	
139.420	139.490	139.393	139.425	139.390	139.461	139.363	139.400	412745	
2014-02-11T04:00:00	139.402	139.431	139.378	139.420	139.376	139.403	139.351	139.390	
410710	2014-02-11T03:30:00	139.367	139.427	139.336	139.402	139.336	139.400	139.315	
139.376	409288	2014-02-11T03:00:00	139.427	139.428	139.352	139.367	139.399	139.400	
139.323	139.336	407827	2014-02-11T02:30:00	139.423	139.453	139.369	139.427	139.396	
139.425	139.341	139.399	409498	2014-02-11T02:00:00	139.387	139.459	139.345	139.423	
139.361	139.430	139.315	139.396	407322	2014-02-11T01:30:00	139.338	139.425	139.272	
139.387	139.312	139.396	139.245	139.361	404759	2014-02-11T01:00:00	139.246	139.375	
139.220	139.338	139.223	139.351	139.194	139.312	400896	2014-02-11T00:30:00	139.346	
139.349	139.181	139.246	139.317	139.320	139.157	139.223	395273	2014-02-11T00:00:00	
139.321	139.355	139.239	139.346	139.294	139.328	139.210	139.317	401664	
2014-02-10T23:30:00	139.367	139.389	139.292	139.321	139.341	139.361	139.266	139.294	
396704	2014-02-10T23:00:00	139.392	139.433	139.343	139.367	139.362	139.406	139.314	
139.341	404361	2014-02-10T22:30:00	139.293	139.410	139.288	139.392	139.264	139.383	
139.259	139.362	408681	2014-02-10T22:00:00	139.257	139.332	139.209	139.293	139.232	
139.305	139.185	139.264	404632	2014-02-10T21:30:00	139.290	139.305	139.219	139.257	
139.263	139.279	139.192	139.232	400756	2014-02-10T21:00:00	139.225	139.322	139.207	
139.290	139.197	139.293	139.177	139.263	404443	2014-02-10T20:30:00	139.298	139.307	
139.194	139.225	139.265	139.276	139.168	139.197	401276	2014-02-10T20:00:00	139.260	
139.323	139.224	139.298	139.230	139.295	139.197	139.265	404484	2014-02-10T19:30:00	
139.294	139.393	139.210	139.260	139.267	139.370	139.184	139.230	400870	
2014-02-10T19:00:00	139.264	139.332	139.235	139.294	139.239	139.303	139.206	139.267	
404117	2014-02-10T18:30:00	139.327	139.329	139.230	139.264	139.298	139.301	139.203	
139.239	401433	2014-02-10T18:00:00	139.505	139.576	139.307	139.327	139.481	139.550	
139.283	139.298	404965	2014-02-10T17:30:00	139.323	139.545	139.315	139.505	139.293	
139.520	139.286	139.481	409856	2014-02-10T17:00:00	139.403	139.405	139.243	139.323	
139.374	139.376	139.214	139.293	404907	2014-02-10T16:30:00	139.430	139.459	139.256	
139.403	139.398	139.441	139.227	139.374	411379	2014-02-10T16:00:00	139.526	139.583	
139.339	139.430	139.500	139.553	139.308	139.398	416983	2014-02-10T15:30:00	139.559	
139.577	139.510	139.526	139.531	139.546	139.481	139.500	422106	2014-02-10T15:00:00	
139.535	139.618	139.535	139.559	139.513	139.586	139.506	139.531	423554	
2014-02-10T14:30:00	139.534	139.597	139.475	139.535	139.504	139.571	139.449	139.513	
421105	2014-02-10T14:00:00	139.557	139.575	139.489	139.534	139.533	139.551	139.461	
139.504	419287	2014-02-10T13:30:00	139.525	139.585	139.504	139.557	139.496	139.560	
139.478	139.533	421617	2014-02-10T13:00:00	139.525	139.551	139.496	139.525	139.496	
139.525	139.465	139.496	420202	2014-02-10T12:30:00	139.472	139.549	139.436	139.525	
139.442	139.522	139.408	139.496	420202	2014-02-10T12:00:00	139.544	139.576	139.458	
139.472	139.515	139.548	139.427	139.442	419027	2014-02-10T11:30:00	139.478	139.547	
139.457	139.544	139.449	139.517	139.429	139.515	420232	2014-02-10T11:00:00	139.611	
139.611	139.423	139.478	139.584	139.584	139.394	139.449	419240	2014-02-10T10:30:00	
139.499	139.647	139.484	139.611	139.468	139.618	139.455	139.584	421437	
2014-02-10T10:00:00	139.590	139.634	139.485	139.499	139.562	139.603	139.459	139.468	
418770	2014-02-10T09:30:00	139.650	139.663	139.567	139.590	139.620	139.633	139.547	
139.562	421961	2014-02-10T09:00:00	139.621	139.666	139.544	139.650	139.594	139.635	
139.519	139.620	425099	2014-02-10T08:30:00	139.705	139.817	139.620	139.621	139.674	
139.792	139.591	139.594	421309	2014-02-10T08:00:00	139.788	139.802	139.702	139.705	
139.754	139.779	139.671	139.674	423164	2014-02-10T07:30:00	139.560	139.811	139.560	
139.788	139.521	139.783	139.521	139.754	424593	2014-02-10T07:00:00	139.647	139.679	
139.543	139.560	139.608	139.608	139.504	139.521	422455	2014-02-10T06:30:00	139.524	
139.700	139.524	139.647	139.474	139.662	139.470	139.608	423192	2014-02-10T06:00:00	
139.550	139.564	139.415	139.524	139.476	139.524	139.344	139.474	422541	
2014-02-10T05:30:00	139.564	139.582	139.499	139.550	139.519	139.533	139.455	139.476	
422887	2014-02-10T05:00:00	139.644	139.644	139.553	139.564	139.581	139.596	139.495	
139.519	423074	2014-02-10T04:30:00	139.542	139.654	139.533	139.644	139.468	139.595	
139.459	139.581	423196	2014-02-10T04:00:00	139.608	139.621	139.461	139.542	139.503	
139.562	139.389	139.468	422397	2014-02-08T06:30:00	139.588	139.625	139.560	139.608	
139.562	139.595	139.503	139.503	422828	2014-02-08T06:00:00	139.493	139.603	139.441	
139.588	139.466	139.575	139.410	139.562	423738	2014-02-08T05:30:00	139.443	139.545	
139.437	139.493	139.414	139.516	139.410	139.466	422795	2014-02-08T05:00:00	139.443	
139.467	139.381	139.443	139.413	139.441	139.350	139.414	420905	2014-02-08T04:30:00	
139.383	139.517	139.377	139.443	139.355	139.490	139.348	139.413	419691	
2014-02-08T04:00:00	139.403	139.528	139.370	139.383	139.374	139.499	139.343	139.355	
418066	2014-02-08T03:30:00	139.293	139.407	139.246	139.403	139.264	139.380	139.216	
139.374	420134	2014-02-08T03:00:00	139.282	139.381	139.266	139.293	139.258	139.353	
139.235	139.264	418205	2014-02-08T02:30:00	139.266	139.293	139.159	139.282	139.243	
139.268	139.130	139.258	416620	2014-02-08T02:00:00	139.304	139.327	139.213	139.266	
139.278	139.300	139.183	139.243	414905	2014-02-08T01:30:00	139.157	139.304	139.115	
139.304	139.128	139.279	139.088	139.278	416901	2014-02-08T01:00:00	139.211	139.222	
139.054	139.157	139.185	139.196	139.024	139.128	414450	2014-02-08T00:30:00	138.910	
139.327	138.882	139.211	138.883	139.298	138.853	139.185	418005	2014-02-08T00:00:00	
139.177	139.311	138.856	138.910	139.152	139.287	138.829	138.883	412947	
2014-02-07T23:30:00	139.259	139.382	139.062	139.177	139.230	139.355	139.035	139.152	
419939	2014-02-07T23:00:00	138.857	139.290	138.664	139.259	138.833	139.264	138.635	
139.230	428621	2014-02-07T22:30:00	139.302	139.248	138.186	138.857	139.134	139.080	
138.154	138.833	420965	2014-02-07T22:00:00	138.819	139.302	138.764	139.302	138.797	
139.260	138.735	139.134	435680	2014-02-07T21:30:00	138.719	138.838	138.642	138.819	
138.693	138.808	138.613	138.797	431930	2014-02-07T21:00:00	138.615	138.723	138.601	
138.719	138.589	138.695	138.573	138.693	430074	2014-02-07T20:30:00	138.561	138.666	
138.540	138.615	138.535	138.639	138.510	138.589	428807	2014-02-07T20:00:00	138.534	
138.628	138.494	138.561	138.498	138.600	138.465	138.535	427500	2014-02-07T19:30:00	
138.599	138.616	138.512	138.534	138.571	138.587	138.487	138.498	425680	
2014-02-07T19:00:00	138.626	138.640	138.549	138.599	138.599	138.612	138.524	138.571	
427102	2014-02-07T18:30:00	138.635	138.663	138.523	138.626	138.609	138.634	138.497	
138.599	428579	2014-02-07T18:00:00	138.405	138.694	138.383	138.635	138.375	138.667	
138.355	138.609	430658	2014-02-07T17:30:00	138.646	138.652	138.183	138.405	138.619	
138.628	138.154	138.375	427883	2014-02-07T17:00:00	138.762	138.762	138.616	138.646	
138.733	138.734	138.589	138.619	433384	2014-02-07T16:30:00	138.768	138.878	138.736	
138.762	138.746	138.849	138.706	138.733	435547	2014-02-07T16:00:00	138.854	138.868	
138.729	138.768	138.833	138.848	138.704	138.746	437210	2014-02-07T15:30:00	138.875	
138.924	138.839	138.854	138.847	138.896	138.812	138.833	438620	2014-02-07T15:00:00	
138.669	138.904	138.665	138.875	138.640	138.879	138.637	138.847	439915	
